----------------------------- log1Hz20170311_1212 --------------------------
Date	Time	Ts	Boatspeed	AW_angle	AW_speed	Heading	TW_angle	TW_speed	TW_Dir	Ext_SOG	Ext_COG	Latitudine	Longitudine
11/03/17	12:12:20	190	5.00	42	8.90	238	75	6.17	313	5.10	236	4530.2012N	1335.0504E	
11/03/17	12:12:21	191	5.09	42	8.90	239	76	6.15	315	5.10	238	4530.2007N	1335.0486E	
11/03/17	12:12:22	192	5.10	42	9.08	241	75	6.30	315	5.20	239	4530.2002N	1335.0468E	
11/03/17	12:12:23	193	5.19	43	9.01	240	77	6.29	317	5.20	238	4530.1987N	1335.0449E	
11/03/17	12:12:24	194	5.20	43	9.00	239	77	6.29	317	5.30	238	4530.1982N	1335.0432E	
11/03/17	12:12:25	195	5.29	43	9.09	239	78	6.35	317	5.30	237	4530.1973N	1335.0417E	
11/03/17	12:12:26	196	5.21	42	9.10	240	76	6.29	316	5.20	238	4530.1968N	1335.0399E	
11/03/17	12:12:27	197	5.20	44	9.10	240	78	6.45	318	5.20	239	4530.1958N	1335.0381E	
11/03/17	12:12:28	198	5.20	44	9.10	241	78	6.46	319	5.20	238	4530.1953N	1335.0360E	
11/03/17	12:12:29	199	5.20	43	9.01	240	77	6.31	318	5.20	238	4530.1943N	1335.0341E	
11/03/17	12:12:30	200	5.11	43	8.91	240	77	6.24	317	5.10	236	4530.1938N	1335.0323E	
11/03/17	12:12:31	201	5.10	43	8.90	239	77	6.23	315	5.10	236	4530.1929N	1335.0308E	
11/03/17	12:12:32	202	4.92	42	8.99	238	74	6.28	312	4.90	237	4530.1924N	1335.0295E	
11/03/17	12:12:33	203	4.90	41	8.82	239	73	6.05	312	4.90	237	4530.1914N	1335.0280E	
11/03/17	12:12:34	204	4.90	42	8.62	239	75	5.96	314	4.90	235	4530.1909N	1335.0262E	
11/03/17	12:12:35	205	4.90	42	8.60	237	75	5.95	313	4.90	235	4530.1899N	1335.0245E	
11/03/17	12:12:36	206	4.81	42	8.51	237	75	5.89	312	4.80	233	4530.1890N	1335.0231E	
11/03/17	12:12:37	207	4.80	43	8.32	235	77	5.81	313	4.90	234	4530.1880N	1335.0219E	
11/03/17	12:12:38	208	4.80	42	8.21	235	77	5.65	312	4.80	233	4530.1875N	1335.0201E	
11/03/17	12:12:39	209	4.71	42	8.20	234	76	5.66	310	4.70	232	4530.1865N	1335.0187E	
11/03/17	12:12:40	210	4.79	42	8.20	234	77	5.64	311	4.80	232	4530.1855N	1335.0172E	
11/03/17	12:12:41	211	4.71	44	8.11	235	78	5.73	313	4.70	233	4530.1851N	1335.0156E	
11/03/17	12:12:42	212	4.70	43	7.92	235	79	5.52	313	4.70	233	4530.1841N	1335.0140E	
11/03/17	12:12:43	213	4.70	43	7.81	235	79	5.42	315	4.70	234	4530.1836N	1335.0127E	
11/03/17	12:12:44	214	4.61	43	7.80	237	78	5.43	315	4.60	235	4530.1826N	1335.0114E	
11/03/17	12:12:45	215	4.60	44	7.62	239	80	5.36	319	4.60	237	4530.1821N	1335.0096E	
11/03/17	12:12:46	216	4.60	43	7.60	239	80	5.28	319	4.60	237	4530.1816N	1335.0081E	
11/03/17	12:12:47	217	4.60	42	7.60	242	78	5.20	320	4.60	240	4530.1807N	1335.0059E	
11/03/17	12:12:48	218	4.60	42	7.60	243	78	5.19	321	4.60	241	4530.1802N	1335.0040E	
11/03/17	12:12:49	219	4.60	43	7.60	243	79	5.26	322	4.60	241	4530.1797N	1335.0023E	
11/03/17	12:12:50	220	4.51	42	7.78	244	76	5.37	320	4.50	242	4530.1792N	1335.0005E	
11/03/17	12:12:51	221	4.32	42	7.80	247	74	5.42	322	4.30	246	4530.1792N	1334.9991E	
11/03/17	12:12:55	222	4.12	41	7.71	253	72	5.34	325	4.10	252	4530.1787N	1334.9976E	
11/03/17	12:12:55	223	3.83	39	7.79	266	66	5.40	332	3.70	265	4530.1782N	1334.9962E	
11/03/17	12:12:55	224	3.35	36	7.89	282	57	5.55	340	3.30	281	4530.1782N	1334.9948E	
11/03/17	12:12:55	225	3.04	36	7.90	295	54	5.73	349	3.00	294	4530.1787N	1334.9935E	
11/03/17	12:12:56	226	2.91	32	8.17	308	46	5.89	355	2.90	306	4530.1792N	1334.9919E	
11/03/17	12:12:57	227	3.08	31	8.20	330	47	5.78	17	3.10	329	4530.1802N	1334.9913E	
11/03/17	12:12:58	228	3.01	13	8.20	340	20	5.31	0	3.10	338	4530.1812N	1334.9904E	
11/03/17	12:12:59	229	3.18	11	8.20	347	18	5.12	5	3.30	345	4530.1821N	1334.9897E	
11/03/17	12:13:00	230	3.29	4	8.02	350	6	4.74	356	3.40	348	4530.1831N	1334.9895E	
11/03/17	12:13:01	231	3.57	356	7.82	345	353	4.27	338	3.60	346	4530.1841N	1334.9891E	
11/03/17	12:13:02	232	3.60	356	7.80	344	353	4.22	336	3.60	345	4530.1851N	1334.9888E	
11/03/17	12:13:03	233	3.69	350	7.80	345	341	4.22	326	3.70	347	4530.1865N	1334.9888E	
11/03/17	12:13:04	234	3.79	345	7.89	345	331	4.36	317	3.80	347	4530.1870N	1334.9884E	
11/03/17	12:13:05	235	3.80	342	7.90	343	327	4.43	310	3.80	345	4530.1880N	1334.9875E	
11/03/17	12:13:06	236	3.80	342	7.90	340	327	4.44	307	3.90	342	4530.1890N	1334.9866E	
11/03/17	12:13:07	237	3.98	341	7.99	338	324	4.42	302	4.00	340	4530.1904N	1334.9856E	
11/03/17	12:13:08	238	4.00	340	8.00	335	322	4.45	297	4.00	336	4530.1919N	1334.9849E	
11/03/17	12:13:09	239	4.18	339	8.00	334	319	4.36	293	4.20	336	4530.1929N	1334.9843E	
11/03/17	12:13:10	240	4.11	339	8.09	332	320	4.50	292	4.10	333	4530.1938N	1334.9836E	
11/03/17	12:13:11	241	3.83	339	8.10	330	322	4.73	292	3.80	332	4530.1934N	1334.9830E	
11/03/17	12:13:12	242	3.80	340	8.28	328	324	4.89	292	3.80	330	4530.1938N	1334.9821E	
11/03/17	12:13:13	243	3.80	342	8.39	328	328	4.92	296	3.80	330	4530.1948N	1334.9816E	
11/03/17	12:13:14	244	3.89	342	8.40	329	328	4.85	297	3.90	331	4530.1958N	1334.9811E	
11/03/17	12:13:15	245	3.81	342	8.40	328	328	4.92	297	3.90	330	4530.1968N	1334.9806E	
11/03/17	12:13:16	246	3.62	342	8.49	331	329	5.17	300	3.70	333	4530.1978N	1334.9801E	
11/03/17	12:13:17	247	3.78	342	8.50	330	329	5.04	299	3.90	332	4530.1987N	1334.9794E	
11/03/17	12:13:18	248	3.98	341	8.59	332	326	5.00	298	4.00	334	4530.1997N	1334.9788E	
11/03/17	12:13:19	249	4.09	341	8.60	333	325	4.92	298	4.10	335	4530.2012N	1334.9780E	
11/03/17	12:13:20	250	4.01	341	8.51	333	326	4.90	298	4.40	335	4530.2017N	1334.9773E	
11/03/17	12:13:21	251	4.18	340	8.50	333	323	4.79	296	4.30	335	4530.2026N	1334.9767E	
11/03/17	12:13:23	252	4.20	340	8.41	334	322	4.69	296	4.20	336	4530.2036N	1334.9760E	
11/03/17	12:13:25	253	4.02	340	8.40	332	323	4.82	295	4.00	334	4530.2046N	1334.9756E	
11/03/17	12:13:25	254	4.18	339	8.40	332	321	4.73	292	4.20	334	4530.2061N	1334.9749E	
11/03/17	12:13:25	255	4.11	338	8.31	334	319	4.75	294	4.10	337	4530.2075N	1334.9741E	
11/03/17	12:13:26	256	4.10	338	8.30	335	319	4.75	294	4.10	338	4530.2090N	1334.9734E	
11/03/17	12:13:27	257	4.10	338	8.30	336	319	4.75	295	4.10	338	4530.2100N	1334.9727E	
11/03/17	12:13:28	258	4.28	338	8.21	336	317	4.53	293	4.30	338	4530.2119N	1334.9718E	
11/03/17	12:13:29	259	4.30	339	8.20	336	319	4.47	295	4.30	338	4530.2129N	1334.9711E	
11/03/17	12:13:30	260	4.12	339	8.20	336	320	4.60	296	4.10	334	4530.2139N	1334.9703E	
11/03/17	12:13:31	261	4.10	340	8.20	333	322	4.57	295	4.10	334	4530.2148N	1334.9696E	
11/03/17	12:13:32	262	4.10	340	8.29	332	322	4.65	295	4.10	333	4530.2153N	1334.9692E	
11/03/17	12:13:33	263	4.10	340	8.30	331	322	4.66	293	4.10	334	4530.2163N	1334.9684E	
11/03/17	12:13:34	264	4.01	340	8.30	332	323	4.73	296	4.00	334	4530.2168N	1334.9677E	
11/03/17	12:13:35	265	4.00	339	8.30	332	322	4.78	294	4.00	333	4530.2178N	1334.9669E	
11/03/17	12:13:36	266	4.18	339	8.30	331	320	4.65	291	4.20	333	4530.2183N	1334.9659E	
11/03/17	12:13:37	267	3.84	337	8.21	329	320	4.90	288	3.80	330	4530.2188N	1334.9653E	
11/03/17	12:13:38	268	3.80	338	8.20	328	321	4.89	289	3.90	330	4530.2197N	1334.9646E	
11/03/17	12:13:39	269	3.98	338	8.20	328	320	4.75	288	4.00	330	4530.2202N	1334.9637E	
11/03/17	12:13:40	270	4.00	339	8.20	327	321	4.70	288	3.90	329	4530.2212N	1334.9628E	
11/03/17	12:13:41	271	4.00	339	8.11	329	321	4.61	289	3.90	331	4530.2222N	1334.9622E	
11/03/17	12:13:42	272	3.91	340	8.01	328	323	4.54	291	3.90	330	4530.2231N	1334.9615E	
11/03/17	12:13:44	273	3.81	340	8.00	330	324	4.61	293	3.80	332	4530.2241N	1334.9611E	
11/03/17	12:13:45	274	4.07	341	8.00	334	323	4.36	297	4.20	336	4530.2251N	1334.9604E	
11/03/17	12:13:46	275	4.10	342	7.91	333	324	4.21	297	4.00	335	4530.2261N	1334.9598E	
11/03/17	12:13:47	276	3.92	341	7.81	334	324	4.30	298	3.90	336	4530.2271N	1334.9591E	
11/03/17	12:13:48	277	3.81	341	7.80	334	325	4.38	298	3.90	336	4530.2280N	1334.9584E	
11/03/17	12:13:49	278	3.89	339	7.80	335	321	4.39	296	3.90	337	4530.2290N	1334.9575E	
11/03/17	12:13:52	279	3.90	338	7.89	334	319	4.51	294	3.90	336	4530.2300N	1334.9565E	
11/03/17	12:13:52	280	3.90	338	7.99	333	320	4.61	293	3.90	335	4530.2305N	1334.9558E	
11/03/17	12:13:52	281	3.72	338	8.00	332	321	4.76	293	3.70	334	4530.2310N	1334.9554E	
11/03/17	12:13:53	282	3.79	339	8.00	332	322	4.67	294	3.80	334	4530.2319N	1334.9548E	
11/03/17	12:13:54	283	3.89	339	7.91	332	321	4.50	293	3.90	334	4530.2329N	1334.9541E	
11/03/17	12:13:55	284	3.90	339	7.99	334	321	4.57	295	4.00	336	4530.2339N	1334.9532E	
11/03/17	12:13:56	285	3.90	339	8.00	333	321	4.58	294	3.80	335	4530.2354N	1334.9528E	
11/03/17	12:13:57	286	3.81	339	7.91	332	322	4.56	293	3.70	333	4530.2368N	1334.9521E	
11/03/17	12:13:58	287	3.71	341	7.90	332	325	4.56	297	3.70	334	4530.2378N	1334.9517E	
11/03/17	12:13:59	288	3.79	341	7.90	333	325	4.49	298	3.80	334	4530.2388N	1334.9509E	
11/03/17	12:14:00	289	3.80	341	7.90	330	325	4.48	295	3.80	332	4530.2397N	1334.9502E	
11/03/17	12:14:01	290	3.71	340	7.72	329	323	4.42	293	3.70	331	4530.2402N	1334.9497E	
11/03/17	12:14:02	291	3.61	340	7.70	329	324	4.48	293	3.70	330	4530.2412N	1334.9489E	
11/03/17	12:14:03	292	3.78	340	7.70	328	323	4.34	291	3.70	330	4530.2422N	1334.9479E	
11/03/17	12:14:04	293	3.80	339	7.79	328	321	4.45	289	4.00	329	4530.2432N	1334.9471E	
11/03/17	12:14:05	294	3.89	339	7.80	329	321	4.39	290	3.90	331	4530.2441N	1334.9464E	
11/03/17	12:14:06	295	3.90	339	7.98	328	321	4.56	289	3.70	330	4530.2451N	1334.9456E	
11/03/17	12:14:07	296	3.72	339	8.00	326	323	4.72	289	3.70	328	4530.2461N	1334.9447E	
11/03/17	12:14:08	297	3.88	339	8.09	327	322	4.68	289	3.90	329	4530.2471N	1334.9440E	
11/03/17	12:14:09	298	3.90	339	8.10	329	322	4.67	290	3.90	331	4530.2480N	1334.9434E	
11/03/17	12:14:10	299	3.90	339	8.19	328	322	4.76	290	3.90	330	4530.2490N	1334.9427E	
11/03/17	12:14:11	300	3.72	340	8.20	327	325	4.88	292	3.70	329	4530.2490N	1334.9421E	
11/03/17	12:14:12	301	3.70	340	8.20	326	325	4.89	291	3.70	328	4530.2500N	1334.9412E	
11/03/17	12:14:13	302	3.79	339	8.11	326	323	4.77	289	3.80	328	4530.2510N	1334.9402E	
11/03/17	12:14:14	303	3.80	338	8.01	328	321	4.70	289	3.80	330	4530.2524N	1334.9391E	
11/03/17	12:14:15	304	3.89	341	7.91	328	324	4.43	292	3.90	330	4530.2534N	1334.9385E	
11/03/17	12:14:16	305	3.81	341	7.90	328	325	4.48	293	3.80	330	4530.2539N	1334.9380E	
11/03/17	12:14:17	306	3.80	342	7.99	328	327	4.53	295	3.80	330	4530.2549N	1334.9371E	
11/03/17	12:14:18	307	3.71	341	8.00	328	326	4.65	294	3.70	330	4530.2559N	1334.9363E	
11/03/17	12:14:19	308	3.61	342	8.00	327	328	4.70	295	3.60	328	4530.2563N	1334.9353E	
11/03/17	12:14:20	309	3.60	342	8.00	325	328	4.71	293	3.60	326	4530.2573N	1334.9344E	
11/03/17	12:14:21	310	3.60	343	8.00	326	330	4.68	296	3.60	328	4530.2583N	1334.9337E	
11/03/17	12:14:22	311	3.60	342	8.00	329	328	4.71	297	3.60	331	4530.2588N	1334.9332E	
11/03/17	12:14:23	312	3.60	342	8.00	331	328	4.71	300	3.60	333	4530.2598N	1334.9326E	
11/03/17	12:14:24	313	3.60	341	8.00	335	327	4.74	302	3.60	337	4530.2612N	1334.9323E	
11/03/17	12:14:25	314	3.69	340	7.91	337	324	4.61	302	3.70	340	4530.2622N	1334.9318E	
11/03/17	12:14:26	315	3.70	340	7.81	339	324	4.52	303	3.70	342	4530.2642N	1334.9315E	
11/03/17	12:14:27	316	3.79	340	7.80	340	323	4.43	303	3.70	342	4530.2651N	1334.9313E	
11/03/17	12:14:28	317	3.89	339	7.80	340	321	4.39	300	3.90	344	4530.2666N	1334.9312E	
11/03/17	12:14:29	318	3.81	339	7.71	342	321	4.37	302	3.80	343	4530.2676N	1334.9309E	
11/03/17	12:14:30	319	3.80	339	7.70	341	321	4.37	302	3.80	342	4530.2681N	1334.9301E	
11/03/17	12:14:31	320	3.80	339	7.70	340	321	4.37	301	3.80	342	4530.2695N	1334.9296E	
11/03/17	12:14:32	321	3.89	338	7.70	341	319	4.34	299	3.90	342	4530.2700N	1334.9291E	
11/03/17	12:14:33	322	3.90	337	7.61	341	316	4.29	297	3.90	342	4530.2715N	1334.9286E	
11/03/17	12:14:34	323	3.99	337	7.60	340	315	4.23	295	4.00	339	4530.2725N	1334.9282E	
11/03/17	12:14:35	324	3.91	337	7.60	338	316	4.28	294	3.90	341	4530.2739N	1334.9277E	
11/03/17	12:14:36	325	3.90	337	7.51	339	316	4.21	295	3.90	341	4530.2749N	1334.9275E	
11/03/17	12:14:37	326	3.90	337	7.41	338	315	4.11	293	3.90	340	4530.2759N	1334.9268E	
11/03/17	12:14:38	327	3.90	337	7.31	337	315	4.02	292	3.90	339	4530.2769N	1334.9260E	
11/03/17	12:14:39	328	3.81	338	7.30	336	317	4.03	293	3.90	337	4530.2778N	1334.9250E	
11/03/17	12:14:40	329	3.98	338	7.30	337	316	3.91	292	3.90	339	4530.2788N	1334.9242E	
11/03/17	12:14:41	330	3.91	339	7.30	336	318	3.92	294	3.90	337	4530.2798N	1334.9233E	
11/03/17	12:14:42	331	3.81	340	7.21	335	320	3.86	295	3.80	337	4530.2803N	1334.9227E	
11/03/17	12:14:43	332	3.71	340	7.20	336	321	3.93	297	3.70	337	4530.2812N	1334.9220E	
11/03/17	12:14:44	333	3.79	340	7.20	337	320	3.86	297	3.80	339	4530.2822N	1334.9215E	
11/03/17	12:14:45	334	3.80	341	7.29	337	322	3.90	299	3.80	339	4530.2837N	1334.9209E	
11/03/17	12:14:46	335	3.89	341	7.39	337	322	3.92	299	3.80	338	4530.2847N	1334.9202E	
11/03/17	12:14:47	336	3.81	341	7.49	336	323	4.08	299	3.90	337	4530.2856N	1334.9198E	
11/03/17	12:14:48	337	3.89	341	7.50	335	323	4.02	298	3.80	337	4530.2861N	1334.9192E	
11/03/17	12:14:49	338	3.81	341	7.59	336	324	4.18	300	3.80	338	4530.2876N	1334.9188E	
11/03/17	12:14:50	339	3.80	341	7.69	337	324	4.28	301	3.80	338	4530.2886N	1334.9185E	
11/03/17	12:14:52	340	3.71	340	7.70	337	323	4.40	301	3.70	339	4530.2900N	1334.9178E	
11/03/17	12:14:53	341	3.79	340	7.70	338	323	4.34	301	3.80	340	4530.2910N	1334.9174E	
11/03/17	12:14:54	342	3.80	340	7.70	338	323	4.33	301	3.80	340	4530.2920N	1334.9167E	
11/03/17	12:14:55	343	3.80	340	7.70	338	323	4.33	301	3.80	340	4530.2930N	1334.9163E	
11/03/17	12:14:56	344	3.80	340	7.70	339	323	4.33	302	3.70	341	4530.2939N	1334.9156E	
11/03/17	12:14:57	345	3.80	340	7.88	335	323	4.50	299	3.80	337	4530.2949N	1334.9148E	
11/03/17	12:14:58	346	3.80	340	7.90	339	323	4.52	302	3.80	341	4530.2954N	1334.9147E	
11/03/17	12:14:59	347	3.89	338	7.99	339	320	4.61	299	3.90	341	4530.2964N	1334.9144E	
11/03/17	12:15:00	348	3.81	338	8.00	336	320	4.69	296	3.90	337	4530.2974N	1334.9141E	
11/03/17	12:15:01	349	3.89	337	8.09	338	319	4.75	297	3.90	341	4530.2983N	1334.9135E	
11/03/17	12:15:02	350	3.99	336	8.10	339	316	4.74	295	3.90	341	4530.2993N	1334.9128E	
11/03/17	12:15:03	351	4.09	336	8.19	341	316	4.75	297	4.10	344	4530.3008N	1334.9122E	
11/03/17	12:15:04	352	4.19	336	8.20	340	315	4.69	295	4.20	342	4530.3022N	1334.9115E	
11/03/17	12:15:05	353	4.11	336	8.20	340	315	4.75	295	4.10	342	4530.3032N	1334.9110E	
11/03/17	12:15:06	354	3.92	336	8.29	337	317	4.97	295	4.00	339	4530.3042N	1334.9102E	
11/03/17	12:15:07	355	4.08	337	8.39	337	318	4.90	295	4.10	339	4530.3052N	1334.9095E	
11/03/17	12:15:08	356	4.10	339	8.31	337	321	4.73	297	4.10	338	4530.3066N	1334.9087E	
11/03/17	12:15:09	357	4.19	339	8.30	336	320	4.64	296	4.20	338	4530.3076N	1334.9080E	
11/03/17	12:15:10	358	4.20	340	8.30	336	322	4.59	297	4.20	338	4530.3091N	1334.9073E	
11/03/17	12:15:11	359	3.93	341	8.39	337	326	4.85	302	3.90	339	4530.3096N	1334.9069E	
11/03/17	12:15:12	360	3.90	342	8.49	337	328	4.93	305	3.90	339	4530.3105N	1334.9064E	
11/03/17	12:15:13	361	3.90	342	8.50	339	328	4.94	306	3.90	341	4530.3115N	1334.9058E	
11/03/17	12:15:14	362	3.81	342	8.68	340	329	5.19	309	3.80	342	4530.3120N	1334.9054E	
11/03/17	12:15:15	363	3.89	343	8.70	341	330	5.11	311	3.90	344	4530.3130N	1334.9045E	
11/03/17	12:15:16	364	3.90	342	8.70	342	329	5.13	310	3.90	344	4530.3145N	1334.9042E	
11/03/17	12:15:17	365	3.90	342	8.70	343	328	5.13	311	3.90	345	4530.3154N	1334.9039E	
11/03/17	12:15:18	366	3.99	341	8.70	341	326	5.09	307	4.00	343	4530.3164N	1334.9034E	
11/03/17	12:15:19	367	4.00	341	8.79	341	326	5.17	308	4.00	343	4530.3174N	1334.9030E	
11/03/17	12:15:20	368	4.09	340	8.89	344	325	5.23	309	4.10	347	4530.3188N	1334.9028E	
11/03/17	12:15:21	369	4.10	340	8.90	344	324	5.24	309	4.10	346	4530.3203N	1334.9032E	
11/03/17	12:15:22	370	4.10	338	8.81	346	321	5.23	307	4.10	348	4530.3213N	1334.9034E	
11/03/17	12:15:23	371	4.10	339	8.71	346	322	5.10	308	4.10	348	4530.3228N	1334.9036E	
11/03/17	12:15:24	372	4.19	339	8.70	346	322	5.02	308	4.20	348	4530.3237N	1334.9032E	
11/03/17	12:15:25	373	4.20	337	8.70	345	319	5.10	304	4.20	347	4530.3252N	1334.9028E	
11/03/17	12:15:28	374	4.29	335	8.70	345	315	5.13	300	4.30	347	4530.3262N	1334.9022E	
11/03/17	12:15:28	375	4.30	335	8.79	345	315	5.22	299	4.30	346	4530.3276N	1334.9016E	
11/03/17	12:15:28	376	4.39	335	8.80	344	314	5.16	298	4.40	346	4530.3291N	1334.9009E	
11/03/17	12:15:29	377	4.40	335	8.80	342	314	5.16	296	4.40	344	4530.3306N	1334.9003E	
11/03/17	12:15:30	378	4.31	335	8.80	341	315	5.22	296	4.30	343	4530.3315N	1334.8997E	
11/03/17	12:15:31	379	4.30	334	8.89	341	314	5.36	295	4.30	343	4530.3325N	1334.8989E	
11/03/17	12:15:32	380	4.21	334	8.90	341	314	5.44	295	4.20	341	4530.3335N	1334.8981E	
11/03/17	12:15:33	381	4.20	334	8.90	339	314	5.44	294	4.20	340	4530.3345N	1334.8976E	
11/03/17	12:15:34	382	4.11	336	8.81	338	317	5.33	296	4.10	340	4530.3354N	1334.8975E	
11/03/17	12:15:35	383	4.10	335	8.71	338	316	5.28	294	4.10	344	4530.3364N	1334.8973E	
11/03/17	12:15:36	384	4.10	334	8.61	344	314	5.24	298	4.10	346	4530.3374N	1334.8969E	
11/03/17	12:15:37	385	4.19	334	8.60	347	313	5.17	300	4.20	349	4530.3389N	1334.8971E	
11/03/17	12:15:38	386	4.29	333	8.51	348	311	5.07	299	4.30	350	4530.3403N	1334.8975E	
11/03/17	12:15:39	387	4.21	333	8.50	349	311	5.12	300	4.20	351	4530.3413N	1334.8976E	
11/03/17	12:15:40	388	4.20	333	8.32	350	310	4.96	300	4.20	352	4530.3423N	1334.8978E	
11/03/17	12:15:41	389	4.20	333	8.30	349	310	4.94	299	4.20	351	4530.3442N	1334.8979E	
11/03/17	12:15:42	390	4.11	335	8.21	348	314	4.82	302	4.10	350	4530.3452N	1334.8979E	
11/03/17	12:15:43	391	4.19	335	8.11	348	313	4.66	301	4.30	350	4530.3462N	1334.8979E	
11/03/17	12:15:44	392	4.29	335	8.19	348	312	4.67	300	4.30	350	4530.3477N	1334.8977E	
11/03/17	12:15:45	393	4.30	335	8.20	346	312	4.67	299	4.40	348	4530.3486N	1334.8972E	
11/03/17	12:15:46	394	4.48	335	8.20	346	310	4.55	296	4.50	348	4530.3501N	1334.8964E	
11/03/17	12:15:47	395	4.50	335	8.20	345	310	4.54	295	4.50	346	4530.3516N	1334.8958E	
11/03/17	12:15:48	396	4.50	335	8.29	344	311	4.62	294	4.50	345	4530.3525N	1334.8948E	
11/03/17	12:15:49	397	4.50	335	8.30	343	311	4.63	293	4.60	344	4530.3540N	1334.8939E	
11/03/17	12:15:50	398	4.59	336	8.48	341	312	4.68	293	4.60	342	4530.3550N	1334.8929E	
11/03/17	12:15:51	399	4.60	337	8.68	339	315	4.80	294	4.60	341	4530.3564N	1334.8918E	
11/03/17	12:15:52	400	4.51	337	8.70	339	316	4.88	295	4.50	341	4530.3574N	1334.8914E	
11/03/17	12:15:53	401	4.41	337	8.79	340	317	5.03	297	4.50	342	4530.3584N	1334.8907E	
11/03/17	12:15:54	402	4.49	338	8.89	340	318	5.02	298	4.50	342	4530.3594N	1334.8901E	
11/03/17	12:15:55	403	4.50	339	8.99	341	320	5.06	302	4.50	344	4530.3604N	1334.8895E	
11/03/17	12:15:56	404	4.41	339	9.00	343	321	5.13	304	4.40	345	4530.3613N	1334.8889E	
11/03/17	12:15:57	405	4.31	340	9.09	344	324	5.25	307	4.30	346	4530.3628N	1334.8885E	
11/03/17	12:15:58	406	4.30	340	9.10	343	324	5.27	307	4.30	345	4530.3638N	1334.8881E	
11/03/17	12:16:00	407	4.39	339	9.10	344	322	5.24	306	4.40	347	4530.3652N	1334.8879E	
11/03/17	12:16:01	408	4.40	339	9.10	345	321	5.24	307	4.50	348	4530.3667N	1334.8875E	
11/03/17	12:16:02	409	4.58	338	9.19	345	319	5.23	304	4.50	347	4530.3682N	1334.8872E	
11/03/17	12:16:05	410	4.51	338	9.29	343	320	5.38	303	4.60	345	4530.3696N	1334.8866E	
11/03/17	12:16:05	411	4.50	337	9.66	341	319	5.78	301	4.60	344	4530.3711N	1334.8860E	
11/03/17	12:16:06	412	4.59	337	9.70	341	319	5.76	300	4.50	343	4530.3721N	1334.8854E	
11/03/17	12:16:06	413	4.60	337	9.88	339	319	5.93	299	4.60	341	4530.3735N	1334.8846E	
11/03/17	12:16:07	414	4.60	338	10.17	339	322	6.15	300	4.60	341	4530.3745N	1334.8842E	
11/03/17	12:16:08	415	4.51	338	10.11	340	322	6.16	302	4.50	342	4530.3760N	1334.8837E	
11/03/17	12:16:09	416	4.50	338	10.10	341	322	6.16	303	4.40	343	4530.3770N	1334.8833E	
11/03/17	12:16:10	417	4.41	338	10.10	341	323	6.23	304	4.50	344	4530.3779N	1334.8829E	
11/03/17	12:16:11	418	4.40	338	10.10	342	323	6.24	305	4.40	344	4530.3794N	1334.8824E	
11/03/17	12:16:12	419	4.49	336	9.92	342	319	6.09	300	4.50	344	4530.3804N	1334.8818E	
11/03/17	12:16:13	420	4.50	336	9.72	342	318	5.90	300	4.40	345	4530.3813N	1334.8812E	
11/03/17	12:16:14	421	4.59	336	9.70	343	317	5.82	301	4.60	346	4530.3823N	1334.8809E	
11/03/17	12:16:15	422	4.51	336	9.61	343	318	5.79	301	4.40	345	4530.3833N	1334.8809E	
11/03/17	12:16:16	423	4.41	335	9.51	343	316	5.81	300	4.40	345	4530.3843N	1334.8804E	
11/03/17	12:16:17	424	4.40	335	9.32	344	316	5.65	299	4.40	346	4530.3857N	1334.8799E	
11/03/17	12:16:18	425	4.40	335	9.30	342	316	5.63	297	4.30	344	4530.3867N	1334.8793E	
11/03/17	12:16:19	426	4.31	336	9.12	341	317	5.48	298	4.30	343	4530.3882N	1334.8790E	
11/03/17	12:16:20	427	4.30	338	9.10	341	320	5.37	302	4.30	344	4530.3892N	1334.8785E	
11/03/17	12:16:21	428	4.30	338	9.10	343	320	5.36	303	4.30	345	4530.3906N	1334.8785E	
11/03/17	12:16:22	429	4.39	337	8.92	343	318	5.17	301	4.40	346	4530.3916N	1334.8781E	
11/03/17	12:16:23	430	4.40	338	8.90	343	319	5.10	302	4.40	345	4530.3926N	1334.8776E	
11/03/17	12:16:24	431	4.40	337	8.99	343	318	5.23	301	4.40	345	4530.3940N	1334.8770E	
11/03/17	12:16:25	432	4.40	337	9.00	342	318	5.24	300	4.50	344	4530.3950N	1334.8762E	
11/03/17	12:16:26	433	4.49	337	9.09	342	318	5.26	300	4.50	344	4530.3965N	1334.8756E	
11/03/17	12:16:27	434	4.50	337	9.28	343	318	5.43	301	4.60	345	4530.3975N	1334.8750E	
11/03/17	12:16:28	435	4.59	337	9.39	342	318	5.47	299	4.50	344	4530.3989N	1334.8744E	
11/03/17	12:16:29	436	4.51	337	9.40	341	318	5.54	299	4.40	343	4530.3999N	1334.8741E	
11/03/17	12:16:30	437	4.41	337	9.49	341	319	5.70	300	4.40	343	4530.4014N	1334.8738E	
11/03/17	12:16:31	438	4.31	337	9.50	342	320	5.78	302	4.40	345	4530.4023N	1334.8733E	
11/03/17	12:16:32	439	4.48	338	9.41	342	320	5.52	302	4.50	343	4530.4033N	1334.8724E	
11/03/17	12:16:33	440	4.50	338	9.40	341	320	5.50	301	4.50	343	4530.4043N	1334.8717E	
11/03/17	12:16:34	441	4.50	339	9.22	339	321	5.28	300	4.50	340	4530.4058N	1334.8708E	
